Unix,Date,Symbol,Open,High,Low,Close,Volume,Volume Base Asset,tradecount
1671912000000,2022-12-24 20:00:00,BTCUSDT,16834.6,16836.6,16826.8,16833.0,2319.158,39035435.3618,14591
1671908400000,2022-12-24 19:00:00,BTCUSDT,16835.1,16859.9,16827.8,16834.6,4802.484,80882816.973,24877
1671904800000,2022-12-24 18:00:00,BTCUSDT,16834.8,16838.6,16822.3,16835.2,2216.63,37308357.8914,13969
1671901200000,2022-12-24 17:00:00,BTCUSDT,16829.6,16836.8,16823.6,16834.8,2764.7790000000005,46531975.3913,16283
1671897600000,2022-12-24 16:00:00,BTCUSDT,16830.3,16832.1,16815.2,16829.6,2659.9509999999996,44753747.6745,17545
1671894000000,2022-12-24 15:00:00,BTCUSDT,16824.0,16832.1,16823.9,16830.2,2723.222,45826652.0781,16575
1671890400000,2022-12-24 14:00:00,BTCUSDT,16809.7,16831.9,16808.7,16824.0,3548.0879999999997,59672340.7051,20826
1671886800000,2022-12-24 13:00:00,BTCUSDT,16816.2,16823.5,16807.7,16809.8,3143.4159999999997,52859498.4818,16845
1671883200000,2022-12-24 12:00:00,BTCUSDT,16819.3,16823.6,16812.8,16816.2,3093.639,52027871.5115,18498
1671879600000,2022-12-24 11:00:00,BTCUSDT,16819.5,16829.3,16815.5,16819.2,2920.558,49128199.822,17702
1671876000000,2022-12-24 10:00:00,BTCUSDT,16823.4,16826.4,16817.8,16819.6,2069.195,34809864.5599,12803
1671872400000,2022-12-24 09:00:00,BTCUSDT,16819.3,16840.0,16814.0,16823.4,4300.092000000001,72359801.8631,24395
1671868800000,2022-12-24 08:00:00,BTCUSDT,16840.2,16841.0,16818.9,16819.3,3685.567,62029284.9295,21497
1671865200000,2022-12-24 07:00:00,BTCUSDT,16810.9,16850.0,16802.0,16840.3,6394.906,107632884.0748,29733
1671861600000,2022-12-24 06:00:00,BTCUSDT,16815.9,16816.0,16801.5,16810.9,2650.448,44549734.6783,17135
1671858000000,2022-12-24 05:00:00,BTCUSDT,16822.3,16822.4,16797.0,16815.8,3691.6290000000004,62056627.6939,22361
1671854400000,2022-12-24 04:00:00,BTCUSDT,16833.3,16838.1,16816.6,16822.3,3243.883,54586715.5209,20198
1671850800000,2022-12-24 03:00:00,BTCUSDT,16818.9,16834.7,16817.5,16833.3,3504.9390000000003,58982681.0508,25435
1671847200000,2022-12-24 02:00:00,BTCUSDT,16805.8,16820.8,16796.6,16818.8,3388.176,56958272.0977,22563
1671843600000,2022-12-24 01:00:00,BTCUSDT,16800.0,16817.9,16791.8,16805.8,3660.764,61515412.6294,22954
1671840000000,2022-12-24 00:00:00,BTCUSDT,16776.3,16810.4,16774.4,16800.0,4759.014,79931160.763,29026
1671836400000,2022-12-23 23:00:00,BTCUSDT,16784.3,16792.5,16768.7,16776.4,4318.222,72459448.0261,27168
1671832800000,2022-12-23 22:00:00,BTCUSDT,16808.1,16808.1,16762.5,16784.3,6581.428000000001,110442438.5286,45739
1671829200000,2022-12-23 21:00:00,BTCUSDT,16802.6,16818.6,16782.0,16808.0,6242.368,104889978.3035,35224
1671825600000,2022-12-23 20:00:00,BTCUSDT,16838.5,16843.0,16782.3,16802.6,8962.646999999999,150659006.7696,45380
1671822000000,2022-12-23 19:00:00,BTCUSDT,16828.8,16852.5,16825.2,16838.5,3404.223,57330075.0353,23695
1671818400000,2022-12-23 18:00:00,BTCUSDT,16834.3,16848.0,16813.6,16828.8,3776.292,63566919.0104,29032
1671814800000,2022-12-23 17:00:00,BTCUSDT,16819.7,16848.3,16816.0,16834.3,4141.975,69724731.6848,31512
1671811200000,2022-12-23 16:00:00,BTCUSDT,16826.0,16839.2,16806.6,16819.6,7551.714,127051493.5491,49397
1671807600000,2022-12-23 15:00:00,BTCUSDT,16781.1,16885.4,16775.0,16825.9,23252.155,391454276.5393,121939
1671804000000,2022-12-23 14:00:00,BTCUSDT,16833.5,16845.0,16755.0,16781.0,26063.285,437758525.5202,133718
1671800400000,2022-12-23 13:00:00,BTCUSDT,16864.7,16960.0,16690.0,16833.5,68380.65400000001,1151656200.499,279418
1671796800000,2022-12-23 12:00:00,BTCUSDT,16837.3,16870.2,16834.0,16864.7,6263.195,105545002.9172,32819
1671793200000,2022-12-23 11:00:00,BTCUSDT,16851.4,16854.0,16836.4,16837.4,4760.35,80181034.2689,28413
1671789600000,2022-12-23 10:00:00,BTCUSDT,16834.4,16887.8,16827.5,16851.3,11692.121000000001,197119861.3363,57183
1671786000000,2022-12-23 09:00:00,BTCUSDT,16830.0,16839.0,16811.4,16834.4,5404.486,90949187.0963,30849
1671782400000,2022-12-23 08:00:00,BTCUSDT,16842.0,16853.7,16805.2,16830.0,8656.378,145663879.8916,45949
1671778800000,2022-12-23 07:00:00,BTCUSDT,16835.1,16849.0,16830.0,16842.0,6249.109,105239170.1569,30286
1671775200000,2022-12-23 06:00:00,BTCUSDT,16812.6,16843.9,16801.0,16835.1,8672.169,145893044.8439,39129
1671771600000,2022-12-23 05:00:00,BTCUSDT,16832.0,16841.5,16811.9,16812.5,4095.8379999999997,68909776.2161,25483
1671768000000,2022-12-23 04:00:00,BTCUSDT,16823.5,16834.2,16803.2,16832.1,5876.590999999999,98831187.0335,34015
1671764400000,2022-12-23 03:00:00,BTCUSDT,16844.9,16895.0,16817.1,16823.5,14215.351,239631810.5257,70230
1671760800000,2022-12-23 02:00:00,BTCUSDT,16793.6,16881.1,16775.1,16844.9,11184.413999999999,188200131.2195,54279
1671757200000,2022-12-23 01:00:00,BTCUSDT,16775.2,16803.2,16767.8,16793.6,5550.392,93185291.9523,31776
1671753600000,2022-12-23 00:00:00,BTCUSDT,16815.5,16827.4,16764.0,16775.2,9258.063,155456220.1107,48914
1671750000000,2022-12-22 23:00:00,BTCUSDT,16795.2,16825.8,16794.4,16815.5,6633.375,111520723.3794,38007
1671746400000,2022-12-22 22:00:00,BTCUSDT,16791.6,16845.8,16776.8,16795.2,10353.839,174032928.3222,61007
1671742800000,2022-12-22 21:00:00,BTCUSDT,16775.4,16820.0,16766.5,16791.6,10819.895,181694711.6953,58036
1671739200000,2022-12-22 20:00:00,BTCUSDT,16658.3,16849.4,16643.6,16775.4,49256.795,825945947.7713,207523
1671735600000,2022-12-22 19:00:00,BTCUSDT,16611.3,16658.3,16603.3,16658.3,10688.108,177800886.4823,57038
1671732000000,2022-12-22 18:00:00,BTCUSDT,16586.6,16619.1,16556.1,16611.2,13078.698999999999,216966659.7464,68058
1671728400000,2022-12-22 17:00:00,BTCUSDT,16655.8,16659.1,16560.0,16586.6,23723.731,393868072.0909,114318
1671724800000,2022-12-22 16:00:00,BTCUSDT,16631.5,16662.8,16615.5,16655.9,15806.678,263050247.2247,79817
1671721200000,2022-12-22 15:00:00,BTCUSDT,16667.3,16707.1,16600.0,16631.5,30444.771,507070623.2854,145483
1671717600000,2022-12-22 14:00:00,BTCUSDT,16775.3,16784.1,16625.2,16667.3,44567.085999999996,743698109.4979,200551
1671714000000,2022-12-22 13:00:00,BTCUSDT,16808.3,16815.2,16755.9,16775.3,18763.252,314925064.7715,96173
1671710400000,2022-12-22 12:00:00,BTCUSDT,16827.6,16837.6,16805.0,16808.3,5038.866,84743570.1616,31657
1671706800000,2022-12-22 11:00:00,BTCUSDT,16815.3,16837.8,16805.1,16827.6,5080.663,85454134.9914,32611
1671703200000,2022-12-22 10:00:00,BTCUSDT,16839.7,16853.2,16812.0,16815.3,4889.437,82288861.3521,31045
1671699600000,2022-12-22 09:00:00,BTCUSDT,16829.6,16861.9,16816.2,16839.7,8692.593,146376958.2942,47243
1671696000000,2022-12-22 08:00:00,BTCUSDT,16820.0,16848.0,16794.2,16829.7,8760.139000000001,147376087.257,49238
1671692400000,2022-12-22 07:00:00,BTCUSDT,16800.8,16824.2,16778.0,16820.0,5671.66,95303956.3195,37817
1671688800000,2022-12-22 06:00:00,BTCUSDT,16816.1,16819.9,16791.0,16800.9,7188.37,120787895.5013,44047
1671685200000,2022-12-22 05:00:00,BTCUSDT,16827.5,16829.9,16810.2,16816.0,4006.473,67386990.4494,26368
1671681600000,2022-12-22 04:00:00,BTCUSDT,16844.5,16850.0,16825.2,16827.6,3675.862,61899153.1219,26459
1671678000000,2022-12-22 03:00:00,BTCUSDT,16844.1,16848.9,16824.7,16844.5,3479.272,58591631.9043,23093
